,Unnamed: 0,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian_x,traveltime_x,studytime_x,failures_x,schoolsup_x,famsup_x,paid_x,activities_x,nursery,higher_x,internet,romantic_x,famrel_x,freetime_x,goout_x,Dalc_x,Walc_x,health_x,absences_x,G1_x,G2_x,G3_x,guardian_y,traveltime_y,studytime_y,failures_y,schoolsup_y,famsup_y,paid_y,activities_y,higher_y,romantic_y,famrel_y,freetime_y,goout_y,Dalc_y,Walc_y,health_y,absences_y,G1_y,G2_y,G3_y
8,8,0,0,15,0,1,0,3,2,4,5,3,0,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,16,18,1,0,1,2,0,0,1,0,0,1,0,4,2,2,1,1,1,0,15,16,1
9,9,0,0,15,0,0,1,3,4,5,5,3,0,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,14,15,1,0,1,2,0,0,1,0,1,1,0,5,5,1,1,1,5,0,12,12,0
10,10,0,1,15,0,0,1,4,4,3,1,2,0,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,0,0,1,2,0,0,1,0,0,1,0,3,3,3,1,2,2,2,14,14,1
10,10,0,1,15,0,0,1,4,4,3,1,2,0,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,10,8,0,0,1,2,0,0,1,0,0,1,0,3,3,3,1,2,2,2,14,14,1
11,11,0,1,15,0,0,1,2,1,4,5,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,10,12,0,1,3,3,0,0,1,0,1,1,0,5,2,2,1,1,4,0,10,12,0
12,12,0,0,15,0,1,1,4,4,1,4,0,1,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14,14,1,1,1,1,0,0,1,0,1,1,0,4,3,3,1,3,5,0,12,13,0
13,13,0,0,15,0,0,1,4,3,3,5,0,0,2,2,0,0,1,1,0,1,1,1,0,5,4,3,1,2,3,2,10,10,0,0,2,2,0,0,1,0,0,1,0,5,4,3,1,2,3,0,12,12,0
14,14,0,0,15,0,0,0,2,2,5,5,3,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,16,1,2,1,3,0,0,1,0,0,1,1,4,5,2,1,1,3,0,14,14,1
14,14,0,0,15,0,0,0,2,2,5,5,3,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,16,1,2,1,3,0,0,1,0,0,1,1,4,5,2,1,1,3,0,14,14,1
15,15,0,1,16,0,0,1,4,4,1,5,3,0,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14,1,0,1,1,0,0,1,0,0,1,0,4,4,4,1,2,2,6,17,17,1
15,15,0,1,16,0,0,1,4,4,1,5,3,0,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,4,14,14,1,0,1,1,0,0,1,0,0,1,0,4,4,4,1,2,2,6,17,17,1
16,16,0,1,16,0,0,1,4,4,4,4,2,0,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13,14,1,0,1,3,0,0,1,0,1,1,0,3,2,3,1,2,2,10,13,13,1
16,16,0,1,16,0,0,1,4,4,4,4,2,0,1,3,0,0,1,1,1,1,1,1,0,3,2,3,1,2,2,6,13,14,1,0,1,3,0,0,1,0,1,1,0,3,2,3,1,2,2,10,13,13,1
17,17,0,1,16,0,0,1,3,3,5,5,2,0,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,8,10,0,0,3,2,0,1,1,0,1,1,0,5,3,2,1,1,4,2,13,14,1
17,17,0,1,16,0,0,1,3,3,5,5,2,0,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,4,8,10,0,0,3,2,0,1,1,0,1,1,0,5,3,2,1,1,4,2,13,14,1
18,18,0,0,17,0,0,1,3,2,4,4,0,0,1,1,3,0,1,0,1,1,1,1,0,5,5,5,2,4,5,16,6,5,0,0,1,1,3,0,1,1,1,1,0,5,5,5,2,4,5,2,8,8,0
19,19,0,0,16,0,1,1,4,3,1,5,3,1,1,1,0,0,0,1,1,1,1,1,0,3,1,3,1,3,5,4,8,10,0,1,1,1,0,0,0,0,1,1,0,3,1,3,1,3,5,6,12,12,0
20,20,0,0,15,0,0,1,4,3,3,5,2,0,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13,14,1,0,1,2,0,0,0,0,0,1,0,4,4,1,1,1,1,0,12,13,1
20,20,0,0,15,0,0,1,4,3,3,5,2,0,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,13,14,1,0,1,2,0,0,0,0,0,1,0,4,4,1,1,1,1,0,12,13,1
21,21,0,0,15,0,0,1,4,4,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,12,15,1,1,1,1,0,0,1,1,0,1,0,5,4,2,1,1,5,0,11,12,0
22,22,0,0,16,0,1,1,4,2,3,5,0,0,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15,15,1,0,1,2,0,0,0,0,1,1,0,4,5,1,1,3,5,0,12,13,1
22,22,0,0,16,0,1,1,4,2,3,5,0,0,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,2,15,15,1,0,1,2,0,0,0,0,1,1,0,4,5,1,1,3,5,0,12,13,1
23,23,0,0,16,0,1,1,2,2,5,5,2,0,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0,13,13,0,0,2,2,0,0,1,0,1,1,0,5,4,4,2,4,5,2,10,10,0
24,24,0,1,15,1,0,1,2,4,4,1,0,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,10,9,0,0,1,3,0,1,1,0,1,1,0,4,3,2,1,1,5,2,10,11,0
25,25,0,1,16,0,0,1,2,2,4,4,3,0,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14,6,9,0,0,1,1,0,0,1,0,0,1,0,1,2,2,1,3,5,6,10,11,0
26,26,0,0,15,0,0,1,2,2,5,5,3,0,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2,12,12,0,0,1,1,0,0,1,0,0,1,0,4,2,2,1,2,5,8,11,12,0
27,27,0,0,15,0,0,1,4,2,1,4,1,0,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4,15,16,1,0,1,1,0,0,0,0,0,1,0,2,2,4,2,4,1,0,11,11,0
28,28,0,0,16,0,1,0,3,4,4,5,3,0,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4,11,11,0,0,1,2,0,1,1,1,1,1,0,5,3,3,1,1,5,2,12,12,0
29,29,0,0,16,0,0,1,4,4,3,3,3,0,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16,10,12,0,0,1,2,0,0,1,1,1,1,1,4,4,5,5,5,5,4,12,11,0
30,30,0,0,15,0,0,1,4,4,1,4,3,0,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,9,11,0,0,1,2,0,0,1,1,0,1,0,5,4,2,3,4,5,0,10,11,0
31,31,0,0,15,0,0,1,4,4,4,4,2,0,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17,16,1,0,2,2,0,0,1,0,1,1,0,4,3,1,1,1,5,2,15,15,1
31,31,0,0,15,0,0,1,4,4,4,4,2,0,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0,17,16,1,0,2,2,0,0,1,0,1,1,0,4,3,1,1,1,5,2,15,15,1
32,32,0,0,15,1,0,1,4,3,3,0,0,0,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,17,16,1,0,1,2,0,0,1,0,1,1,1,4,5,2,1,1,5,0,13,14,1
32,32,0,0,15,1,0,1,4,3,3,0,0,0,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,17,16,1,0,1,2,0,0,1,0,1,1,1,4,5,2,1,1,5,0,13,14,1
33,33,0,0,15,0,1,1,3,3,5,5,0,0,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0,8,10,0,0,1,2,0,0,0,0,1,1,0,5,3,2,1,1,2,0,13,12,0
34,34,0,0,16,0,0,1,3,2,5,5,3,0,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0,12,14,1,0,1,1,0,0,1,0,0,1,0,5,4,3,1,1,5,4,12,12,0
35,35,0,1,15,0,0,1,2,3,5,5,1,1,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0,8,7,0,1,2,1,0,0,1,0,1,1,0,3,5,1,1,1,5,4,11,11,0
36,36,0,0,15,0,1,1,4,3,3,4,3,0,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,15,16,1,0,1,3,0,0,1,0,1,1,0,5,4,3,1,1,4,0,14,14,1
36,36,0,0,15,0,1,1,4,3,3,4,3,0,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2,15,16,1,0,1,3,0,0,1,0,1,1,0,5,4,3,1,1,4,0,14,14,1
37,37,0,0,16,1,0,0,4,4,5,3,2,0,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7,15,16,1,0,2,3,0,0,1,0,1,1,1,2,4,3,1,1,5,4,13,13,0
38,38,0,1,15,1,0,1,3,4,4,1,0,0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2,12,12,0,0,1,3,0,1,1,0,1,1,0,4,3,2,1,1,5,2,11,12,0
39,39,0,1,15,1,0,1,2,2,0,5,2,0,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8,14,13,0,0,1,1,0,1,1,0,1,1,0,4,3,1,1,1,2,8,14,13,0
40,40,0,1,16,0,1,1,2,2,5,5,3,0,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25,7,10,0,0,2,2,0,0,1,0,1,1,1,3,3,3,1,2,3,16,11,11,0
41,41,0,0,15,0,1,1,4,4,3,5,3,2,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8,12,12,0,2,1,1,0,0,1,0,0,1,1,5,4,3,2,4,5,8,10,11,0
42,42,0,0,15,0,0,1,4,4,4,3,0,1,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,19,18,1,1,1,2,0,0,1,0,1,1,0,4,3,3,1,1,5,0,14,15,1
42,42,0,0,15,0,0,1,4,4,4,3,0,1,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2,19,18,1,1,1,2,0,0,1,0,1,1,0,4,3,3,1,1,5,0,14,15,1
43,43,0,0,15,0,0,1,2,2,4,4,0,1,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0,8,8,0,1,1,1,0,1,1,0,0,1,0,5,4,1,1,1,1,0,9,10,0
44,44,0,1,16,0,1,1,2,2,5,0,0,1,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14,10,10,0,1,2,2,1,1,0,0,1,1,0,4,3,3,2,2,5,14,10,11,0
45,45,0,1,15,0,1,0,4,3,5,5,0,0,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8,8,8,0,0,1,2,0,1,1,1,1,1,1,5,2,2,1,1,5,4,10,11,0
46,46,0,1,16,0,1,0,3,3,5,4,3,0,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12,11,12,0,0,1,2,0,0,1,0,0,1,0,2,3,5,1,4,3,6,13,12,0
47,47,0,0,16,0,0,1,4,3,1,4,2,0,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,19,19,1,0,1,4,0,0,0,0,1,1,0,4,2,2,1,1,2,2,17,17,1
47,47,0,0,16,0,0,1,4,3,1,4,2,0,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4,19,19,1,0,1,4,0,0,0,0,1,1,0,4,2,2,1,1,2,2,17,17,1
48,48,0,0,15,0,0,1,4,2,3,5,3,0,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2,15,15,1,0,1,2,0,0,1,0,0,1,0,4,3,3,2,2,5,4,11,12,0
49,49,0,1,15,0,0,1,4,4,4,3,1,1,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2,7,7,0,1,1,2,0,1,1,0,1,1,0,4,4,4,1,1,3,2,13,12,0
50,50,0,1,16,0,1,1,2,2,4,4,0,0,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2,12,13,0,0,3,2,0,0,1,0,0,1,0,4,3,3,2,3,4,0,14,13,0
51,51,0,1,15,0,1,1,4,2,1,5,1,0,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,11,13,0,0,1,2,0,0,1,0,0,1,0,4,3,3,1,1,5,0,16,14,1
51,51,0,1,15,0,1,1,4,2,1,5,1,0,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2,11,13,0,0,1,2,0,0,1,0,0,1,0,4,3,3,1,1,5,0,16,14,1
52,52,0,0,15,0,1,0,4,2,1,1,1,1,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6,11,11,0,1,2,1,0,0,0,0,0,1,0,5,5,5,3,4,5,4,10,9,0
53,53,0,1,15,0,0,1,4,4,4,4,0,0,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0,8,10,0,0,1,1,0,1,1,0,0,1,0,3,3,4,2,3,5,0,13,12,0
54,54,0,1,15,0,1,0,3,3,5,5,1,0,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6,10,13,0,0,1,1,0,0,0,0,0,1,0,5,3,4,4,4,1,0,13,12,0
55,55,0,1,16,0,0,0,2,1,5,5,1,0,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8,8,9,0,0,1,2,0,0,0,0,1,1,1,5,3,4,1,1,2,2,12,13,0
56,56,0,1,15,0,0,0,4,3,4,4,2,0,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,14,15,1,0,1,2,0,0,1,0,1,1,0,4,3,2,1,1,1,0,15,14,1
56,56,0,1,15,0,0,0,4,3,4,4,2,0,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0,14,15,1,0,1,2,0,0,1,0,1,1,0,4,3,2,1,1,1,0,15,14,1
57,57,0,0,15,0,0,1,4,4,3,1,2,0,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,14,15,1,0,1,2,0,0,1,0,1,1,0,3,2,2,1,1,5,8,15,15,1
57,57,0,0,15,0,0,1,4,4,3,1,2,0,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4,14,15,1,0,1,2,0,0,1,0,1,1,0,3,2,2,1,1,5,8,15,15,1
58,58,0,0,15,0,1,1,1,2,5,0,3,1,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,9,10,0,1,1,2,0,1,1,0,1,1,0,4,3,2,1,1,5,0,14,13,1
58,58,0,0,15,0,1,1,1,2,5,0,3,1,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,9,10,0,1,1,2,0,1,1,0,1,1,0,4,3,2,1,1,5,0,14,13,1
59,59,0,1,16,0,0,1,4,2,4,5,0,0,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,15,16,1,0,1,2,0,0,1,1,0,1,0,4,2,3,1,1,5,2,16,15,1
59,59,0,1,16,0,0,1,4,2,4,5,0,0,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2,15,16,1,0,1,2,0,0,1,1,0,1,0,4,2,3,1,1,5,2,16,15,1
60,60,0,1,16,1,0,1,4,4,1,3,1,0,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,10,11,0,0,1,2,0,0,1,0,1,1,0,2,4,4,2,3,4,0,17,16,1
60,60,0,1,16,1,0,1,4,4,1,3,1,0,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6,10,11,0,0,1,2,0,0,1,0,1,1,0,2,4,4,2,3,4,0,17,16,1
61,61,0,1,16,0,0,1,1,1,4,4,0,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,10,8,0,1,4,1,0,1,1,0,1,1,1,5,5,5,5,5,5,0,10,10,1
61,61,0,1,16,0,0,1,1,1,4,4,0,1,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6,10,8,0,1,4,1,0,1,1,0,1,1,1,5,5,5,5,5,5,0,10,10,1
62,62,0,1,16,0,1,1,1,2,5,4,2,1,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4,8,10,0,1,1,2,0,1,0,0,1,1,0,4,4,3,1,1,1,0,13,13,0
63,63,0,1,16,0,0,1,4,3,3,1,3,0,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2,10,9,0,0,1,3,0,1,1,0,1,1,0,3,4,4,2,4,4,0,14,13,0
64,64,0,1,15,0,1,1,4,3,4,4,2,1,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0,10,10,0,1,1,2,0,1,0,0,1,1,1,4,4,4,2,4,2,0,13,12,0
65,65,0,1,16,0,1,1,4,3,3,4,0,0,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,1,0,3,2,0,0,1,0,1,1,0,5,4,3,1,2,1,2,16,15,1
65,65,0,1,16,0,1,1,4,3,3,4,0,0,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2,16,15,1,0,3,2,0,0,1,0,1,1,0,5,4,3,1,2,1,2,16,15,1
66,66,0,0,15,0,0,0,4,4,5,4,2,0,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4,13,13,0,0,1,4,0,0,1,0,1,1,1,1,3,3,5,5,3,0,11,12,0
67,67,0,1,16,0,0,1,3,1,4,5,0,0,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4,7,7,0,0,1,4,0,1,1,0,0,1,0,4,3,3,1,2,5,0,10,9,0
68,68,0,1,15,1,1,1,2,2,1,4,2,0,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2,8,9,0,0,2,2,0,1,1,0,0,1,0,4,1,3,1,3,4,0,11,10,0
69,69,0,1,15,1,1,1,3,1,5,5,2,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,16,16,1,1,2,4,0,0,1,0,0,1,0,4,4,2,2,3,3,6,15,15,1
69,69,0,1,15,1,1,1,3,1,5,5,2,1,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12,16,16,1,1,2,4,0,0,1,0,0,1,0,4,4,2,2,3,3,6,15,15,1
70,70,0,0,16,0,0,1,3,1,5,5,2,1,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0,13,15,1,1,2,4,0,0,1,0,0,1,0,4,3,2,1,1,5,2,13,11,0
71,71,0,0,15,0,0,1,4,2,5,5,0,0,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0,10,10,0,0,1,4,0,0,0,0,0,1,0,3,3,3,1,1,3,0,11,9,0
72,72,0,1,15,1,0,1,1,1,5,5,2,0,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2,8,6,0,0,1,2,0,1,1,0,0,1,1,3,3,4,2,4,5,2,13,11,0
73,73,0,0,16,0,0,1,3,1,5,5,2,0,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,12,12,1,0,1,1,0,0,0,0,1,1,0,5,3,2,2,2,5,0,13,13,1
73,73,0,0,16,0,0,1,3,1,5,5,2,0,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2,12,12,1,0,1,1,0,0,0,0,1,1,0,5,3,2,2,2,5,0,13,13,1
74,74,0,1,16,0,0,1,3,3,5,4,3,0,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54,11,12,0,0,1,2,0,1,1,0,1,1,0,4,3,3,2,4,5,4,11,11,0
75,75,0,0,15,0,0,1,4,3,3,5,3,0,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6,9,9,0,0,1,2,0,0,1,0,1,1,0,4,3,3,2,3,5,0,11,11,0
76,76,0,0,15,0,0,1,4,0,3,5,0,0,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8,11,11,0,0,2,4,0,0,0,0,1,1,0,3,4,3,1,1,1,0,12,11,0
77,77,0,1,16,0,0,1,2,2,5,5,2,0,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0,11,11,0,0,1,4,0,0,0,0,0,1,1,5,2,3,1,3,3,1,13,13,0
78,78,0,0,17,0,0,1,2,1,5,5,3,0,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,8,8,0,0,2,1,3,1,1,0,1,0,0,4,5,1,1,1,3,0,9,9,0
79,79,0,0,17,0,0,1,2,1,5,5,3,0,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2,8,8,0,0,1,1,0,0,1,0,0,1,0,5,4,5,1,2,5,22,9,7,0
80,80,0,0,17,0,0,1,2,1,5,5,3,0,1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0,5,0,0,0,2,1,3,1,1,0,1,0,0,4,5,1,1,1,3,0,9,9,0
81,81,0,0,17,0,0,1,2,1,5,5,3,0,1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0,5,0,0,0,1,1,0,0,1,0,0,1,0,5,4,5,1,2,5,22,9,7,0
82,82,0,1,16,0,0,1,3,4,0,5,0,0,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12,5,5,0,0,1,2,0,0,1,0,0,1,0,2,4,3,1,2,3,14,12,11,0
83,83,0,0,15,0,0,1,2,3,5,4,0,1,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2,10,12,0,1,1,1,0,1,1,0,1,1,1,3,2,2,1,3,3,0,11,11,0
84,84,0,0,15,0,0,1,2,3,5,5,3,0,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4,11,10,0,0,1,3,0,1,0,0,0,1,0,5,3,2,1,2,5,2,10,9,0
85,85,0,1,15,0,1,1,3,2,4,5,2,0,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10,7,6,0,0,1,2,0,0,1,0,0,1,0,4,4,4,1,1,5,4,12,11,0
86,86,0,0,15,0,1,1,2,2,4,4,3,0,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4,15,15,1,0,2,2,0,0,0,1,1,1,0,5,3,3,1,3,4,2,13,12,0
87,87,0,1,15,0,0,1,1,1,5,5,3,1,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2,9,10,0,1,1,2,0,0,1,0,1,1,0,4,3,2,2,3,4,2,13,12,0
88,88,0,1,15,0,0,1,4,4,4,4,2,1,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6,7,9,0,1,2,2,0,0,0,0,0,1,1,4,4,4,2,3,5,4,12,11,0
89,89,0,1,16,0,1,1,2,2,0,5,0,0,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4,8,7,0,0,1,2,0,0,1,0,0,1,0,4,3,4,1,2,2,6,13,11,0
90,90,0,1,15,0,0,1,4,2,5,5,2,0,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,13,14,1,0,1,3,0,0,1,0,1,1,0,5,3,3,1,3,1,4,15,15,1
90,90,0,1,15,0,0,1,4,2,5,5,2,0,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4,13,14,1,0,1,3,0,0,1,0,1,1,0,5,3,3,1,3,1,4,15,15,1
91,91,0,0,16,0,0,1,2,2,4,5,2,1,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12,11,10,0,1,2,2,0,0,0,0,1,1,0,4,4,2,1,1,3,6,12,10,0
92,92,0,0,16,0,1,0,4,4,3,1,2,0,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18,8,6,0,0,1,2,0,0,1,0,0,1,0,4,1,3,3,5,5,6,9,9,0
93,93,0,1,16,0,0,1,3,3,5,5,3,0,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0,7,7,0,0,1,3,0,0,1,0,0,1,1,4,3,3,1,3,4,2,9,11,0
94,94,0,1,15,0,0,1,4,3,4,5,2,0,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4,16,17,1,0,1,1,0,0,0,0,1,1,0,4,5,5,1,3,1,6,14,13,0
95,95,0,1,16,0,1,1,3,1,5,5,3,1,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4,7,6,0,1,1,2,0,1,1,0,0,1,0,3,3,3,2,3,2,0,12,13,0
96,96,0,1,16,0,0,1,4,2,3,4,3,0,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0,11,10,0,0,2,2,0,0,1,0,1,1,0,5,3,3,1,1,1,2,13,14,1
